A01 - Presente Indicativo
Я говорю по-итальянски (parlo, italiano);Parlo italiano
Ты понимаешь итальянский? (capisci, italiano);Capisci italiano?
Вы изучаете итальянский? (studiate, italiano);Studiate italiano?
Мы учимся в Риме (studiamo, roma);Studiamo a Roma
Они говорят по-русски (parlano, russo);Parlano russo
Я не понимаю (capisco);Non capisco
Ты не говоришь по-английски (parli, inglese);Non parli inglese
Мы не изучаем испанский (studiamo, spagnolo);Non studiamo spagnolo
Она не работает здесь (lavora);Non lavora qui
Они не живут в Милане (vivono, milano);Non vivono a Milano
Я читаю книгу (leggo, libro);Leggo un libro
Ты читаешь книгу (leggi, libro);Leggi un libro
Он читает книгу (legge, libro);Legge un libro
Мы читаем книгу (leggiamo, libro);Leggiamo un libro
Вы читаете книгу (leggete, libro);Leggete un libro
Они читают книгу (leggono, libro);Leggono un libro
Я не читаю книгу (leggo, libro);Non leggo un libro
Ты не читаешь книгу (leggi, libro);Non leggi un libro
Он не читает книгу (legge, libro);Non legge un libro
Мы не читаем книгу (leggiamo, libro);Non leggiamo un libro
Вы не читаете книгу (leggete, libro);Non leggete un libro
Они не читают книгу (leggono, libro);Non leggono un libro
Я сплю дома (dormo, casa);Dormo a casa
Ты спишь дома (dormi, casa);Dormi a casa
Он спит дома (dorme, casa);Dorme a casa
Мы спим дома (dormiamo, casa);Dormiamo a casa
Вы спите дома (dormite, casa);Dormite a casa
Они спят дома (dormono, casa);Dormono a casa
Я не сплю дома (dormo, casa);Non dormo a casa
Ты не спишь дома (dormi, casa);Non dormi a casa
Он не спит дома (dorme, casa);Non dorme a casa
Мы не спим дома (dormiamo, casa);Non dormiamo a casa
Вы не спите дома (dormite, casa);Non dormite a casa
Они не спят дома (dormono, casa);Non dormono a casa
Я студент (studente);Sono studente
Ты учитель (insegnante);Sei insegnante
Он врач (dottore);È dottore
Она инженер (ingegnere);È ingegnere
Мы студенты (studenti);Siamo studenti
Вы учителя (insegnanti);Siete insegnanti
Они врачи (medici);Sono medici
Я не студент (studente);Non sono studente
Ты не учитель (insegnante);Non sei insegnante
Он не врач (dottore);Non è dottore
Она не инженер (ingegnere);Non è ingegnere
Мы не студенты (studenti);Non siamo studenti
Вы не учителя (insegnanti);Non siete insegnanti
Они не врачи (medici);Non sono medici
У меня есть время (tempo);Ho tempo
У тебя есть время? (tempo);Hai tempo?
У него есть время (tempo);Ha tempo
У неё есть время (tempo);Ha tempo
У нас есть время (tempo);Abbiamo tempo
У вас есть время? (tempo);Avete tempo?
У них есть время (tempo);Hanno tempo
У меня нет времени (tempo);Non ho tempo
У тебя нет времени (tempo);Non hai tempo
У него нет времени (tempo);Non ha tempo
У неё нет времени (tempo);Non ha tempo
У нас нет времени (tempo);Non abbiamo tempo
У вас нет времени (tempo);Non avete tempo
У них нет времени (tempo);Non hanno tempo
Я иду домой (vado, casa);Vado a casa
Ты идешь в школу (vai, scuola);Vai a scuola
Он идет в театр (teatro);Va a teatro
Она идет домой (casa);Va a casa
Мы идем в школу (andiamo, scuola);Andiamo a scuola
Вы идете в театр (teatro);Andate a teatro
Они идут домой (vanno, casa);Vanno a casa
Я не иду домой (vado, casa);Non vado a casa
Ты не идешь в школу (vai, scuola);Non vai a scuola
Он не идет в театр (teatro);Non va a teatro
Она не идет домой (casa);Non va a casa
Мы не идем в школу (andiamo, scuola);Non andiamo a scuola
Вы не идете в театр (teatro);Non andate a teatro
Они не идут домой (vanno, casa);Non vanno a casa
Я делаю зарядку (faccio, ginnastica);Faccio ginnastica
Ты завтракаешь (fai, colazione);Fai colazione
Он занимается спортом (sport);Fa sport
Она завтракает (colazione);Fa colazione
Мы делаем зарядку (facciamo, ginnastica);Facciamo ginnastica
Вы занимаетесь спортом (fate, sport);Fate sport
Они завтракают (fanno, colazione);Fanno colazione
Я не делаю зарядку (faccio, ginnastica);Non faccio ginnastica
Ты не завтракаешь (fai, colazione);Non fai colazione
Он не занимается спортом (sport);Non fa sport
Она не завтракает (colazione);Non fa colazione
Мы не делаем зарядку (facciamo, ginnastica);Non facciamo ginnastica
Вы не занимаетесь спортом (fate, sport);Non fate sport
Они не завтракают (fanno, colazione);Non fanno colazione
Меня зовут Марко (mi chiamo);Mi chiamo Marco
Как тебя зовут? (come, ti chiami);Come ti chiami?
Мне хорошо (mi sento, bene);Mi sento bene
Мне нехорошо (mi sento, bene);Non mi sento bene
Очень приятно (piacere);Piacere
