B13 - Verbi Riflessivi
Я покупаю себе дом (mi, comprare, casa);Mi compro una casa
Я ухожу домой (andarsene, casa);Me ne vado a casa
Я готовлю себе ужин (mi, cucinare, cena);Mi preparo la cena
Я делаю себе подарок (mi, fare, regalo);Mi faccio un regalo
Я умываюсь (mi, lavarsi);Mi lavo
Ты умываешься (ti, lavarsi);Ti lavi
Мы умываемся (ci, lavarsi);Ci laviamo
Я встаю рано (mi, alzarsi, presto);Mi alzo presto
Ты просыпаешься (ti, svegliarsi);Ti svegli
Мы готовим себе ужин вместе (ci, cucinare, cena, insieme);Ci prepariamo la cena insieme
Она умывается на той самой кухне (si, lavarsi, cucina);Si lava in cucina
Я должен встать (dovere, alzarsi);Devo alzarmi
Мы хотим приготовить себе ужин (volere, cucinare, cena);Vogliamo prepararci la cena
Ты должен проснуться (dovere, svegliarsi);Ti devi svegliare
Они встали рано (alzarsi, presto, PP);Si sono alzati presto
Она проснулась и приготовила себе ужин (svegliarsi, cucinare, cena, PP);Si è svegliata e si è preparata la cena
