C15 - Congiuntivo dopo congiunzioni
Прежде чем купить дом, я подумаю (prima che, comprare, casa, pensare);Prima che compri una casa, penserò
Прежде чем пойти домой, мы закончим работу (prima che, andare, casa, finire, lavoro);Prima che andiamo a casa, finiremo il lavoro
Прежде чем сделать подарок, она найдёт время (prima che, fare, regalo, trovare, tempo);Prima che faccia un regalo, troverà il tempo
Прежде чем начать урок, учитель проверяет список (prima che, iniziare, lezione, insegnante, controllare, lista);Prima che inizi la lezione, l'insegnante controlla la lista
Прежде чем уйти, он попрощается (prima che, andarsene, salutare);Prima che se ne vada, saluterà
Прежде чем приготовить ужин, мы купим продукты (prima che, cucinare, cena, comprare, cibo);Prima che cuciniamo la cena, compreremo il cibo
Прежде чем открыть дверь, он посмотрит в замочную скважину (prima che, aprire, porta, guardare, buco della serratura);Prima che apra la porta, guarderà dal buco della serratura
Прежде чем написать письмо, она подумает (prima che, scrivere, lettera, pensare);Prima che scriva una lettera, penserà
Без того чтобы мы работали вместе, проект не закончится (senza che, lavorare, insieme, progetto, non finire);Senza che lavoriamo insieme, il progetto non finirà
Без того чтобы она убирала кухню, дом грязный (senza che, pulire, cucina, casa, sporco);Senza che pulisca la cucina, la casa è sporca
Без того чтобы он помогал, мы не справимся (senza che, aiutare, non, farcela);Senza che ci aiuti, non ce la faremo
Без того чтобы они приходили, мы работаем одни (senza che, venire, lavorare, soli);Senza che vengano, lavoriamo da soli
Без того чтобы ты знал правду, решение трудное (senza che, sapere, verità, decisione, difficile);Senza che tu sappia la verità, la decisione è difficile
Без того чтобы она читала книгу, она не поймёт (senza che, leggere, libro, non, capire);Senza che legga il libro, non capirà
Если только он не придёт домой, мы начнём без него (a meno che, non, venire, casa, iniziare, senza);A meno che non venga a casa, iniziamo senza di lui
Если только она не найдёт работу, она уедет (a meno che, non, trovare, lavoro, andarsene);A meno che non trovi lavoro, se ne andrà
Если только мы не купим билеты, не пойдём в кино (a meno che, non, comprare, biglietti, non andare, cinema);A meno che non compriamo i biglietti, non andiamo al cinema
Если только ты не прочитаешь книгу, ты не сдашь экзамен (a meno che, non, leggere, libro, non passare, esame);A meno che non legga il libro, non passerà l'esame
Если только они не помогут, мы не справимся (a meno che, non, aiutare, non, farcela);A meno che non ci aiutino, non ce la faremo
Если только я не пойму правило, я ошибусь (a meno che, non, capire, regola, sbagliare);A meno che non capisca la regola, sbaglierò
При условии что она живёт в том самом большом доме (purché, abitare, casa, grande);Purché abiti nella casa grande
При условии что кухня будет чистой (purché, cucina, pulito);Purché la cucina sia pulita
При условии что он будет учиться каждый день (purché, studiare, ogni giorno);Purché lui studi ogni giorno
При условии что они придут вовремя (purché, venire, in tempo);Purché vengano in tempo
При условии что мы найдём деньги (purché, trovare, soldi);Purché troviamo i soldi
При условии что ты не обидишься (purché, non, prendersela);Purché non te la prenda
При условии что работа будет готова завтра (purché, lavoro, pronto, domani);Purché il lavoro sia pronto domani
Хотя тот самый дом и большой, он уютный (benché, casa, grande, accogliente);Benché la casa sia grande, è accogliente
Хотя та самая машина и старая, она работает (sebbene, macchina, vecchio, funzionare);Sebbene la macchina sia vecchia, funziona
Хотя он и выкладывается, результат не всегда хороший (benché, mettercela tutta, risultato, non sempre buono);Benché se la metta tutta, il risultato non è sempre buono
Хотя она и выкручивается, ей нужна помощь (sebbene, cavarsela, bisogno, aiuto);Sebbene se la cavi, ha bisogno di aiuto
Хотя они и ушли, мы продолжаем (benché, andarsene, continuare);Benché se ne siano andati, continuiamo
Хотя та самая книга и скучная, она полезная (sebbene, libro, noioso, utile);Sebbene il libro sia noioso, è utile
Хотя время и мало, мы справляемся (benché, tempo, poco, farcela);Benché il tempo sia poco, ce la facciamo
Чтобы он купил подарок для семьи (affinché, comprare, regalo, famiglia);Affinché compri un regalo per la famiglia
Чтобы она прочитала ту самую книгу (affinché, leggere, libro);Affinché legga quel libro
Чтобы мы работали лучше (affinché, lavorare, meglio);Affinché lavoriamo meglio
Чтобы они поняли правило (affinché, capire, regola);Affinché capiscano la regola
Чтобы ты нашёл время для отдыха (affinché, trovare, tempo, riposo);Affinché tu trovi il tempo per il riposo
Чтобы она не обижалась на слова (affinché, non, prendersela, parole);Affinché non se la prenda per le parole
Чтобы мы не тратили много времени (affinché, non, metterci, molto, tempo);Affinché non ci mettiamo molto tempo
Несмотря на то что она уходит поздно (nonostante, andarsene, tardi);Nonostante se ne vada tardi
