G201 - Essere: основа sar-
Я буду дома (essere);Sarò a casa
Ты будешь здесь завтра (essere);Sarai qui domani
Она будет в городе (essere, in città);Sarà in città
Мы будем вместе (essere);Saremo insieme
Вы будете готовы? (essere);Sarete pronti?;Речь о группе юношей.
Они будут в школе (essere, a scuola);Saranno a scuola
Папа будет дома (essere, il papà);Il papà sarà a casa
Я не буду там (essere);Non sarò lì
Книга будет интересной (essere, il libro, interessante);Il libro sarà interessante
Мой брат будет доволен (essere, contento);Mio fratello sarà contento
Где вы будете? (essere);Dove sarete?
Когда они будут дома? (essere);Quando saranno a casa?
