G216 - Получатель и объект: me lo / te la / glielo
Я дарю его тебе (regalare, il libro);Te lo regalo
Я дарю её ему (regalare);Glielo regalo
Ты даёшь её мне (dare, una penna);Me la dai
Мы дарим её ему (regalare, una macchina);Gliela regaliamo
Вы даёте её нам (dare, l'acqua);Ce la date
Я дарю их вам (regalare, dei fiori);Ve li regalo
Он дарит её ей (regalare, una borsa);Gliela regala
Я не даю её тебе (dare, una matita);Non te la do
Ты даёшь его мне (dare, il giornale)?;Me lo dai?
Она дарит её нам (regalare, una torta);Ce la regala
Я дарю их тебе (regalare, dei cioccolatini);Te li regalo

