G231 - Lo/la перед ho/hai/ha/hanno: l'
Я его купил (comprare, la casa);L'ho comprata;Речь о доме.
Я её купил (comprare, il libro);L'ho comprato;Речь о книге.
Я её прочитал (leggere, il libro);L'ho letto;Речь о книге.
Ты его написал (scrivere, la lettera);L'hai scritta;Речь о письме.
Он его приготовил (fare, il caffè);L'ha fatto
Она её закрыла (chiudere, chiuso, la porta);L'ha chiusa
Они его выпили (bere, il caffè);L'hanno bevuto
Я его выпил (bere, il caffè);L'ho bevuto
Паоло его купил (comprare, il pane);Paolo l'ha comprato
Она его потеряла (perdere, perso, la chiave);L'ha persa;Речь о ключе.
Я её не читал (leggere, il giornale);Non l'ho letto;Речь о газете.
Она её купила (comprare, la borsa);L'ha comprata
