G195 - Avere в команде tu: abbi
Имей терпение! (avere, pazienza);Abbi pazienza!
Имей смелость! (avere, coraggio);Abbi coraggio!
Имей доверие! (avere, fiducia);Abbi fiducia!
Имей доверие ко мне! (avere, fiducia);Abbi fiducia in me!
Имей терпение с ним! (avere, pazienza);Abbi pazienza con lui!
Имей терпение со мной! (avere, pazienza);Abbi pazienza con me!
Не бойся! (avere);Non avere paura!
Не бойся темноты! (avere, il buio);Non avere paura del buio!
Не бойся нас! (avere);Non avere paura di noi!
Не спеши! (avere);Non avere fretta!
Не сомневайся! (avere);Non avere dubbi!
