G127 - Указательное слово вместо именной группы
Та книга старая (il libro, vecchio);Quello è vecchio
Та комната маленькая (la stanza, piccolo);Quella è piccola
Я покупаю эту книгу и ту (comprare, libro);Compro questo libro e quello
Те книги старые (i libri, vecchio);Quelli sono vecchi
Это книга Марко (il libro, Marco);Questo è il libro di Marco
Та машина — Анны (la macchina, Anna);Quella è la macchina di Anna
Это мой дом (casa);Questa è la mia casa
Те чашки — Джулии (tazza, Giulia);Quelle sono le tazze di Giulia
Это туфли Павла (le scarpe, Paolo);Queste sono le scarpe di Paolo
Я беру это и то (prendere);Prendo questo e quello
Та газета — Луки (il giornale, Luca);Quello è il giornale di Luca
