G326 - Пассив с essere в простом времени
Меня слушают (ascoltare);Sono ascoltato;Речь о юноше.
Письма отправляют каждый день (mandare, le lettere);Le lettere sono mandate ogni giorno
Книги продаются в книжном магазине (vendere, i libri, in libreria);I libri sono venduti in libreria
Счёт оплачивают сегодня (pagare, il conto);Il conto è pagato oggi
Меня приглашают на вечеринку (invitare, la festa);Sono invitato alla festa;Речь о юноше.
Нас слушают (ascoltare);Siamo ascoltati;Речь о группе юношей.
Анну любят (amare);Anna è amata
Машины продавались в Милане (vendere, le macchine);Le macchine erano vendute a Milano
Письма будут отправлены завтра (mandare, domani);Le lettere saranno mandate domani
Ужин готовят в семь (preparare, la cena);La cena è preparata alle sette
Детей отводят в школу (accompagnare, i bambini);I bambini sono accompagnati a scuola
Овощи здесь не продаются (vendere, le verdure);Le verdure non sono vendute qui
Письмо написано ручкой (scrivere, con la penna);La lettera è scritta con la penna
