G374 - Неизменяемый признак
Дом синий (la casa);La casa è blu
Дома синие (casa);Le case sono blu
Машина синяя (la macchina);La macchina è blu
Машины синие (macchina);Le macchine sono blu
Книга синяя (il libro);Il libro è blu
Книги синие (libro);I libri sono blu
Небо синее (il cielo);Il cielo è blu
Море синее (il mare);Il mare è blu
Я покупаю синюю машину (comprare, macchina);Compro una macchina blu
У меня есть синий дом (avere, casa);Ho una casa blu
Я хочу синюю рубашку (volere, camicia);Voglio una camicia blu
Синие двери новые (porta);Le porte blu sono nuove
Я покупаю синие книги (comprare, libro);Compro dei libri blu
